year,classification,female,male,non-binary
1980,Drawing,5.0,47.0,0.0
1980,Illustrated Book,1.0,12.0,0.0
1980,Mies van der Rohe Archive,0.0,1.0,0.0
1980,Painting,1.0,9.0,0.0
1980,Photograph,12.0,37.0,0.0
1980,Print,11.0,40.0,0.0
1980,Sculpture,1.0,4.0,0.0
1980,Video,3.0,2.0,0.0
1981,All,31.0,293.0,0.0
1981,Architecture,0.0,3.0,0.0
1981,Design,6.0,71.0,0.0
1981,Drawing,3.0,29.0,0.0
1981,Illustrated Book,2.0,43.0,0.0
1981,Installation,1.0,0.0,0.0
1981,Painting,1.0,17.0,0.0
1981,Photograph,9.0,71.0,0.0
1981,Print,6.0,40.0,0.0
1981,Sculpture,0.0,3.0,0.0
1981,Video,3.0,16.0,0.0
1982,All,26.0,259.0,0.0
1982,Architecture,0.0,3.0,0.0
1982,Design,2.0,28.0,0.0
1982,Drawing,2.0,28.0,0.0
1982,Illustrated Book,2.0,14.0,0.0
1982,Installation,0.0,1.0,0.0
1982,Multiple,1.0,2.0,0.0
1982,Painting,2.0,18.0,0.0
1982,Photograph,8.0,84.0,0.0
1982,Print,6.0,70.0,0.0
1982,Sculpture,0.0,6.0,0.0
1982,Video,3.0,5.0,0.0
1983,All,47.0,321.0,0.0
1983,Design,8.0,111.0,0.0
1983,Drawing,5.0,34.0,0.0
1983,Film,0.0,1.0,0.0
1983,Illustrated Book,1.0,10.0,0.0
1983,Installation,0.0,1.0,0.0
1983,Painting,6.0,20.0,0.0
1983,Photograph,11.0,78.0,0.0
1983,Print,9.0,50.0,0.0
1983,Sculpture,5.0,10.0,0.0
1983,Video,2.0,6.0,0.0
1984,All,50.0,265.0,0.0
1984,Architecture,0.0,4.0,0.0
1984,Design,3.0,34.0,0.0
1984,Drawing,8.0,31.0,0.0
1984,Illustrated Book,0.0,17.0,0.0
1984,Multiple,0.0,2.0,0.0
1984,Painting,3.0,12.0,0.0
1984,Photograph,11.0,59.0,0.0
1984,Print,8.0,65.0,0.0
1984,Sculpture,0.0,13.0,0.0
1984,Video,17.0,28.0,0.0
1985,All,58.0,382.0,0.0
1985,Architecture,0.0,7.0,0.0
1985,Design,2.0,33.0,0.0
1985,Drawing,16.0,88.0,0.0
1985,Illustrated Book,5.0,29.0,0.0
1985,Installation,1.0,0.0,0.0
1985,Multiple,1.0,1.0,0.0
1985,Painting,8.0,62.0,0.0
1985,Photograph,12.0,48.0,0.0
1985,Print,11.0,86.0,0.0
1985,Sculpture,1.0,23.0,0.0
1985,Video,1.0,5.0,0.0
1986,All,41.0,296.0,0.0
1986,Architecture,0.0,3.0,0.0
1986,Design,1.0,30.0,0.0
1986,Drawing,5.0,31.0,0.0
1986,Illustrated Book,1.0,22.0,0.0
1986,Painting,2.0,13.0,0.0
1986,Photograph,13.0,74.0,0.0
1986,Print,10.0,80.0,0.0
1986,Sculpture,2.0,12.0,0.0
1986,Video,7.0,31.0,0.0
1987,All,70.0,364.0,0.0
1987,Architecture,0.0,3.0,0.0
1987,Design,6.0,55.0,0.0
1987,Drawing,0.0,19.0,0.0
1987,Illustrated Book,3.0,25.0,0.0
1987,Installation,0.0,3.0,0.0
1987,Multiple,1.0,4.0,0.0
1987,Painting,4.0,7.0,0.0
1987,Photograph,16.0,54.0,0.0
1987,Print,36.0,182.0,0.0
1987,Sculpture,2.0,8.0,0.0
1987,Video,2.0,4.0,0.0
1988,All,59.0,246.0,0.0
1988,Architecture,0.0,3.0,0.0
1988,Design,5.0,32.0,0.0
1988,Drawing,5.0,33.0,0.0
1988,Illustrated Book,3.0,24.0,0.0
1988,Multiple,1.0,0.0,0.0
1988,Painting,2.0,4.0,0.0
1988,Photograph,12.0,56.0,0.0
1988,Print,18.0,73.0,0.0
1988,Sculpture,1.0,7.0,0.0
1988,Video,12.0,14.0,0.0
1989,All,32.0,214.0,0.0
1989,Architecture,0.0,3.0,0.0
1989,Design,1.0,6.0,0.0
1989,Drawing,1.0,12.0,0.0
1989,Illustrated Book,5.0,9.0,0.0
1989,Installation,1.0,1.0,0.0
1989,Multiple,0.0,2.0,0.0
1989,Painting,1.0,6.0,0.0
1989,Photograph,10.0,80.0,0.0
1989,Print,12.0,82.0,0.0
1989,Sculpture,0.0,5.0,0.0
1989,Video,1.0,8.0,0.0
1990,All,55.0,245.0,0.0
1990,Architecture,0.0,4.0,0.0
1990,Design,4.0,37.0,0.0
1990,Drawing,10.0,27.0,0.0
1990,Illustrated Book,4.0,16.0,0.0
1990,Installation,0.0,1.0,0.0
1990,Multiple,1.0,0.0,0.0
1990,Painting,3.0,15.0,0.0
1990,Photograph,12.0,47.0,0.0
1990,Print,15.0,85.0,0.0
1990,Sculpture,1.0,11.0,0.0
1990,Video,5.0,2.0,0.0
1991,All,51.0,219.0,0.0
1991,Architecture,0.0,2.0,0.0
1991,Design,1.0,8.0,0.0
1991,Drawing,0.0,26.0,0.0
1991,Illustrated Book,12.0,31.0,0.0
1991,Installation,0.0,2.0,0.0
1991,Painting,3.0,28.0,0.0
1991,Photograph,15.0,52.0,0.0
1991,Print,15.0,52.0,0.0
1991,Sculpture,3.0,14.0,0.0
1991,Video,2.0,4.0,0.0
1992,All,57.0,274.0,0.0
1992,Architecture,1.0,9.0,0.0
1992,Design,0.0,17.0,0.0
1992,Drawing,2.0,18.0,0.0
1992,Illustrated Book,3.0,42.0,0.0
1992,Installation,0.0,1.0,0.0
1992,Painting,4.0,16.0,0.0
1992,Photograph,24.0,94.0,0.0
1992,Print,19.0,64.0,0.0
1992,Sculpture,2.0,10.0,0.0
1992,Video,2.0,3.0,0.0
1993,All,51.0,211.0,0.0
1993,Architecture,0.0,7.0,0.0
1993,Design,3.0,16.0,0.0
1993,Drawing,3.0,14.0,0.0
1993,Illustrated Book,9.0,42.0,0.0
1993,Installation,1.0,1.0,0.0
1993,Painting,0.0,6.0,0.0
1993,Photograph,13.0,59.0,0.0
1993,Print,19.0,53.0,0.0
1993,Sculpture,1.0,7.0,0.0
1993,Video,2.0,6.0,0.0
1994,All,56.0,243.0,0.0
1994,Architecture,0.0,15.0,0.0
1994,Design,3.0,34.0,0.0
1994,Drawing,0.0,7.0,0.0
1994,Illustrated Book,3.0,12.0,0.0
1994,Installation,1.0,1.0,0.0
